논문 제목, 링크
미래 사회에서 메타버스 교육의 방향, http://www.riss.kr/link?id=A108016290
사형제도는 폐지되어야 하는가?, http://www.riss.kr/link?id=A60251440
챗GPT 충격파… 성큼 다가온 인공지능, http://www.riss.kr/link?id=A108508273
스트레스 수준이 대학생들의 학업 성취도에 미치는 영향, http://www.riss.kr/link?id=A82694597
촉법소년 상한(형사미성년자) 연령 하향에 대한 비판적 고찰, http://www.riss.kr/link?id=A108417491
챗GPT에 빼앗긴 밥그릇, http://www.riss.kr/link?id=A108525475
노키즈존 확산, 어떻게 볼 것인가?, http://www.riss.kr/link?id=A102257714
대리모 산업의 윤리적 문제와 해결방안, http://www.riss.kr/link?id=A100401069
[토론문 1] 저출산·고령화와 인구정책, http://www.riss.kr/link?id=A104892222
국내외 가짜뉴스(Fake News)에 대한 뉴스 공정성 연구논의 탐색, http://www.riss.kr/link?id=A105591633
구글 시대 저무나? 인공지능 ‘챗GPT’ 돌풍, http://www.riss.kr/link?id=A108508332
MZ 세대의 개인주의 문화, 어떻게 볼 것인가?, http://www.riss.kr/link?id=A108447810
헤어질 결심, http://www.riss.kr/link?id=A108202406
촉법소년 상한연령 하향 인식에의 영향요인 - 소년사법 실무전문가들을 중심으로 -, http://www.riss.kr/link?id=A108417486
최저임금제도 개선방안에 관한 연구, http://www.riss.kr/link?id=A101866802
고교학점제의 쟁점과 과제 분석, http://www.riss.kr/link?id=A107939046
영화 속에서 나타난 인공지능의 인간화와 인간지배 현상 연구 - 신체가 있는 인공지능과 하이퍼 인공지능을 중심으로, http://www.riss.kr/link?id=A108140448
인지발달에 대한 삐아제 이론과 비고츠키 이론의 비교, http://www.riss.kr/link?id=A101876695
챗봇 기반 인공지능 교육 프로그램 개발과 적용, http://www.riss.kr/link?id=A107319070
사상체질과 MBTI성격유형검사를 통한 대학생 건강염려증의 상관관계연구, http://www.riss.kr/link?id=A107278397
나이팅게일과 업적, http://www.riss.kr/link?id=A18742338
사회복지에서의 인권에 관한 일 고찰, http://www.riss.kr/link?id=A102281750
행동주의 상담과 인본주의 상담의 특성 비교, http://www.riss.kr/link?id=A3029310
다이어트, 당신은 건강합니까?, http://www.riss.kr/link?id=A76262114
한국 인공지능 교육의 방향, http://www.riss.kr/link?id=A107319062
고교학점제 도입 추진 정책에 대한 비판적 검토, http://www.riss.kr/link?id=A105396133
간호관리자의 변혁적 리더십과 서번트 리더십이 신규간호사의 조직사회화에 미치는 영향: 집단효능감의 매개 효과, http://www.riss.kr/link?id=A108418416
예비 초등 교사들의 역사 인물 프로젝트-이순신을 중심으로-, http://www.riss.kr/link?id=A108004327
학술 2 - 유기동물 안락사의 윤리적 고찰과 사례를 통한 발전적 해결방안, http://www.riss.kr/link?id=A101133527
MZ세대의 MBTI에 따른 여가활동 선택과 여가태도, http://www.riss.kr/link?id=A108417008
자동창작시대의 예술 작품 -인공지능은 예술 창작의 주체가 될 수 있는가?, http://www.riss.kr/link?id=A106981421
음악치료 소개와 음악이란 매개체가 갖는 특별한 우수성, http://www.riss.kr/link?id=A30057540
미혼 성인남녀의 저출산 정책 인식에 관한 연구, http://www.riss.kr/link?id=A105506917
The Impact of Employees' Growth Mindset on Organizational Citizenship Behavior in Small and Medium-sized Enterprises (SMEs): Focusing on the Mediating Effect of Authentic Leadership, http://www.riss.kr/link?id=A108452231
나이팅게일과 간호, http://www.riss.kr/link?id=A18742337
Freud와 Erikson이론에 따른 성격형성에 관한 고찰, http://www.riss.kr/link?id=A45010287
여대생의 다이어트 행동과 심리적 변인들과의 관계, http://www.riss.kr/link?id=A82690210
그리스-로마 신화의 교훈, http://www.riss.kr/link?id=A107552565
우리 사회의 능력주의는 제대로 작동하고 있는가?, http://www.riss.kr/link?id=A101887357
인공지능교육에 대한 초등교사의 인식 조사, http://www.riss.kr/link?id=A107366672
<바람계곡의 나우시카>에 나타난 캐릭터 성격구조의 이해, http://www.riss.kr/link?id=A103514563
인공지능기반 스마트팜 핵심 기술 연구 동향, http://www.riss.kr/link?id=A106028211
프로이트의 정신분석이론과 비판, http://www.riss.kr/link?id=A103095861
인공지능을 활용한 예술융합교육이 초등학생 창의성에 미치는 효과, http://www.riss.kr/link?id=A108012413
무자녀가족의 출산행동에 관한 연구, http://www.riss.kr/link?id=A107315631
인공지능 리터러시 기반의 설명가능한 인공지능 교육 프로그램의 효과, http://www.riss.kr/link?id=A108164169
저출산 정책, http://www.riss.kr/link?id=A102750411
망가진 머리: 인공지능과 윤리 And I believed I was loved, I believed I loved Who did this to us?, http://www.riss.kr/link?id=A106419000
애착유형, 스트레스 대처방식과 대인불안의 관계, http://www.riss.kr/link?id=A82690250
펜타닐에 대한 중독경험자와 전문가의 인식 차이, http://www.riss.kr/link?id=A108418252
성별에 따른 인슐린 저항성과 대사증후군과의 관련성, http://www.riss.kr/link?id=A108004351
메타인지와 수학적 창의성의 관계, http://www.riss.kr/link?id=A105619724
미국의 청소년 마약류 사용 대응 정책 고찰을 통한 국내 정책의 시사점, http://www.riss.kr/link?id=A108418256
세계 주요국의 유보통합 동향 및 시사점 분석, http://www.riss.kr/link?id=A107558011
자연 상태에서 일어나는 음펨바 효과에 대한 연구, http://www.riss.kr/link?id=A106118568
보웬(M. Bowen)의 다세대 가족치료, http://www.riss.kr/link?id=A108153901
[CLICK] 음식점,카페 "노키즈존" 확산, http://www.riss.kr/link?id=A101942791
또래 상담 활동이 따돌림 경험 학생들의 심리적인 변화에 주는 영향, http://www.riss.kr/link?id=A75142192
통합집단상담에서 사회적 상호작용의 증가가 치료효과 및 치료요인에 미치는 영향, http://www.riss.kr/link?id=A82690214
인공지능 관련 규범 수립의 국내외 현황과 과제, http://www.riss.kr/link?id=A108551487
산-염기 중화반응 실험의 문제점 분석 및 개선 방안, http://www.riss.kr/link?id=A101030281
존엄사의 헌법적 보장-죽음에 대한 자기결정권의 구성요건 설정을 중심으로-, http://www.riss.kr/link?id=A108417382
일본의 후쿠시마 오염수 해양 방출 계획 저지를 위한 한국의 대응 전략: 방사성물질로부터 영해 수호를 위한 정책적 제언, http://www.riss.kr/link?id=A107771821
전문간호사제도의 과제와 발전방향 - 법제화 근거마련 및 간호법 제정 필요, http://www.riss.kr/link?id=A101425604
배양육이 축산을 대체할 수 있을까?, http://www.riss.kr/link?id=A106915515
초중등 인공지능 교육을 위한 프레임워크 기초 연구, http://www.riss.kr/link?id=A107309284
신노년세대를 위한 노인복지주택에 관한 연구, http://www.riss.kr/link?id=A106620521
친환경 위장제품(그린워싱)의 현황과 과제, http://www.riss.kr/link?id=A102397417
마약류 중독예방사업의 활성화 방안, http://www.riss.kr/link?id=A108418255
인공지능 교육 프로그램 개발 및 적용을 통한 인공지능 역량ㆍ태도ㆍ인식 변화 분석, http://www.riss.kr/link?id=A108421121
예비 교원을 위한 디지털 역량 교육의 방향성 연구, http://www.riss.kr/link?id=A107410880
장기이식과 의료윤리, http://www.riss.kr/link?id=A18743160
간호대학생의 MBTI 성격유형별 의사소통능력, 자아존중감, 학업성취도의 관계, http://www.riss.kr/link?id=A107967262
국회기후변화포럼, 미세먼지 관리 종합대책 논의, http://www.riss.kr/link?id=A105314925
리더십 향상을 위한 의사소통 능력 교육 방안, http://www.riss.kr/link?id=A82421599
인공지능을 활용한 AI 예술 창작도구 사례 연구, http://www.riss.kr/link?id=A108214032
또래 거부를 경험한 아동을 위한 인지행동놀이치료 사례연구, http://www.riss.kr/link?id=A107403135
코로나19 시대, K-POP 주요 성공 요인과 발전방안, http://www.riss.kr/link?id=A107190408
예술적 아름다움과 정보처리 비용의 효율성, 그리고 예술 창작에서의 인공지능의 성공 가능성, http://www.riss.kr/link?id=A107167013
대학에서의 인공지능 교양교육 현황과 시사점, http://www.riss.kr/link?id=A107854570
빈곤아동이 지각한 가정의 심리적 환경과 부적응 행동과의 관계, http://www.riss.kr/link?id=A1988076
인공지능 윤리의식 검사 도구 개발 연구, http://www.riss.kr/link?id=A107366670
사회복지공동모금회 20년, 사회적 영향력 및 성과분석, http://www.riss.kr/link?id=A105978137
디지털 정보활용능력이 노인의 삶의 만족도에 미치는 영향에 관한 연구, http://www.riss.kr/link?id=A108417224
달걀 낙하 실험의 이론적 분석, http://www.riss.kr/link?id=A82714056
리더십과 조직시민행동에 있어서 임파워먼트의 매개효과, http://www.riss.kr/link?id=A82421611
희년의 법과 헨리 조지의 토지법은 상관이 있는가?, http://www.riss.kr/link?id=A106362280
기후정의 실현을 위한 정책 개선방안 연구(Ⅲ), http://www.riss.kr/link?id=A108125872
인공지능 기반의 언어 생성 모델 분석, http://www.riss.kr/link?id=A107295802
바이럴마케팅의 방향에 관한 연구와 진행 사례, http://www.riss.kr/link?id=A101669745
21세기 리더십과 임파워먼트에 관한 연구, http://www.riss.kr/link?id=A82421610
교양교육을 위한 활동중심 인공지능 윤리 교육 사례 연구, http://www.riss.kr/link?id=A108164172
초등학생 인공지능윤리교육을 위한 STEAM 프로그램 개발, http://www.riss.kr/link?id=A107366671
화장품 안전성에 대한 인식 및 사용실태 연구, http://www.riss.kr/link?id=A108416865
한국음악시장에서 피지컬 음반 판매가 늘어나는 현상에 대한 연구 : 피지컬 음반과 디지털 음원시장의 아티스트별 비교분석과 글로벌 케이팝 팬 덤의 음반구매 이유에 대한 설문을 중심으로, http://www.riss.kr/link?id=A107826819
HPLC를 이용한 커피 내 카페인 정량 분석, http://www.riss.kr/link?id=A106967303
분리불안 아동의 인지행동놀이치료 사례연구, http://www.riss.kr/link?id=A106902541
천동설과 지동설을 통해 본 기독교와 과학의 갈등, http://www.riss.kr/link?id=A82710483
4차 산업혁명의 담론과 인공지능 기술에 대한 철학적 분석과 비판, http://www.riss.kr/link?id=A107473205
